customer_id,renewal_date,age,province,policy_type,tenure_years,annual_premium,premium_change_pct,payment_frequency,autopay_enrolled,missed_payments_12m,claims_count_3y,last_claim_status,complaints_12m,service_interactions_12m,satisfaction_score,multi_policy_count,life_event_12m,digital_logins_12m,outcome
H500000,2025-01-23,41,ON,Home,4.9,2106.21,11.0,Monthly,Yes,0,0,None,2,1,7,3,Retirement,8,Renewed
H500001,2025-02-12,61,QC,Tenant,3.0,442.48,-0.5,Monthly,Yes,0,0,None,2,3,6,1,None,4,Renewed
H500002,2025-10-12,24,AB,Life,1.9,775.09,13.6,Monthly,No,0,0,None,0,2,5,1,None,5,Renewed
H500003,2024-07-27,44,ON,Auto+Home Bundle,0.9,4399.69,13.4,Monthly,No,0,0,None,0,3,7,1,None,9,Renewed
H500004,2025-08-31,77,ON,Home,1.3,2069.35,-1.1,Annual,Yes,0,0,None,0,2,5,2,Marriage,7,Renewed
H500005,2025-09-29,45,ON,Auto+Home Bundle,0.6,4486.67,-6.5,Annual,Yes,0,1,Approved,0,0,8,3,Job Change,10,Renewed
H500006,2026-03-09,50,QC,Tenant,2.9,413.52,18.8,Monthly,No,0,2,Approved,0,3,9,2,Home Purchase,11,Renewed
H500007,2025-11-13,49,ON,Home,5.9,1829.15,15.6,Monthly,No,0,1,Partial,0,2,8,1,Job Change,11,Renewed
H500008,2025-03-04,44,AB,Home,2.2,1932.49,6.3,Monthly,Yes,0,0,None,0,5,8,2,None,13,Renewed
H500009,2024-09-13,36,ON,Auto+Home Bundle,5.1,3202.31,11.9,Annual,Yes,0,1,Approved,2,1,5,1,New Child,5,Renewed
H500010,2025-05-17,78,AB,Home,9.0,2338.22,13.2,Monthly,Yes,1,0,None,1,0,7,1,None,12,Lapsed
H500011,2025-08-27,58,BC,Auto,16.8,1178.65,-2.0,Annual,Yes,0,0,None,0,3,9,2,Home Purchase,8,Renewed
H500012,2024-09-10,81,ON,Auto+Home Bundle,0.3,3171.25,4.3,Annual,No,2,0,None,0,5,7,1,None,6,Renewed
H500013,2024-12-03,48,AB,Auto,0.3,1259.2,6.5,Monthly,Yes,0,1,Approved,0,2,6,1,Retirement,13,Renewed
H500014,2025-07-18,37,AB,Tenant,1.1,263.69,9.3,Monthly,No,0,0,None,0,3,10,1,Marriage,10,Lapsed
H500015,2025-09-29,50,BC,Tenant,1.7,275.05,11.7,Monthly,Yes,0,2,Approved,2,4,9,1,None,9,Renewed
H500016,2025-03-12,42,MB,Life,6.4,793.33,10.4,Annual,Yes,0,4,Partial,2,4,6,2,Home Purchase,6,Renewed
H500017,2024-11-13,46,ON,Auto,4.8,3528.24,0.3,Monthly,No,0,0,None,0,3,5,1,None,10,Renewed
H500018,2025-07-19,27,AB,Auto+Home Bundle,6.1,4440.55,-6.3,Monthly,No,0,0,None,0,2,5,1,Retirement,14,Renewed
H500019,2025-03-24,47,ON,Home,2.8,2199.72,1.4,Monthly,Yes,0,0,None,0,1,7,3,None,4,Renewed
H500020,2024-12-16,52,BC,Home,7.8,1877.71,7.2,Monthly,Yes,2,1,Approved,0,2,8,1,None,6,Renewed
