customer_id,age,gender,marital_status,province,city,occupation,annual_income,credit_score,policy_type,policy_start_date,renewal_date,tenure_years,annual_premium,coverage_amount,deductible,premium_change_pct,payment_frequency,autopay_enrolled,missed_payments_12m,claims_count_3y,last_claim_status,complaints_12m,service_interactions_12m,satisfaction_score,multi_policy_count,preferred_channel,preferred_contact_time,preferred_language,life_event_12m,digital_logins_12m,total_risk_score,risk_category,days_until_renewal
C100000,24,Male,Divorced,NS,Halifax,Accountant,75419.0,682,Home,2023-10-03,2027-01-20,3.3,1245.62,1270000.0,1500,6.0,Monthly,No,4,1,Approved,0,2,8.0,1,Mail,Evening,English,None,11,7,High,203
C100001,67,Female,Married,NS,Sydney,Teacher,71728.0,753,Home,2021-08-21,2026-08-21,5.0,2572.81,575000.0,500,17.7,Annual,No,2,1,Partial,0,1,10.0,1,Phone,Morning,English,Home Purchase,11,9,High,51
C100002,60,Female,Married,QC,Gatineau,Technician,49974.0,619,Auto,2022-10-22,2026-09-15,3.9,2296.57,1780000.0,500,4.7,Monthly,No,0,0,None,0,5,10.0,1,Email,Morning,French,None,13,2,Low,76
C100003,46,Female,Single,ON,London,Student,101236.0,712,Home,2022-11-19,2027-05-20,4.5,2160.86,1299000.0,2000,3.3,Monthly,Yes,2,2,Approved,0,2,4.0,1,Email,Afternoon,English,Home Purchase,10,6,Medium,323
C100004,46,Male,Married,BC,Kelowna,Technician,62616.0,852,Tenant,2020-07-24,2026-08-30,6.1,441.17,61000.0,1000,21.9,Monthly,No,1,2,Approved,0,0,8.0,2,Mail,Evening,English,None,15,6,Medium,60
C100005,73,Female,Married,BC,Victoria,Engineer,61236.0,564,Life,2026-01-26,2026-07-27,0.5,2080.51,107000.0,250,6.9,Monthly,Yes,0,0,None,0,3,9.0,1,Email,Morning,English,Job Change,9,4,Medium,26
C100006,24,Male,Married,MB,Winnipeg,Retail Associate,66839.0,786,Tenant,2024-10-08,2027-05-15,2.6,430.66,63000.0,1000,2.1,Monthly,Yes,0,0,None,0,1,8.0,3,Text,Evening,English,None,11,0,Low,318
C100007,62,Male,Single,AB,Edmonton,Construction Worker,126023.0,762,Auto,2024-07-31,2027-03-07,2.6,3274.47,122000.0,1000,-7.7,Monthly,No,0,0,None,0,3,7.0,1,Email,Afternoon,English,New Child,9,2,Low,249
C100008,31,Male,Divorced,ON,Kitchener,Technician,94212.0,804,Auto,2009-03-12,2027-04-18,18.1,1408.93,1814000.0,1000,1.3,Annual,No,0,0,None,0,3,9.0,2,Text,Morning,English,Marriage,6,1,Low,291
C100009,24,Female,Single,QC,Laval,Construction Worker,66010.0,685,Life,2023-06-23,2027-05-17,3.9,2038.3,570000.0,500,12.9,Monthly,No,0,0,None,0,1,8.0,2,Email,Morning,French,None,3,2,Low,320
C100010,52,Male,Married,QC,Montreal,Retired,80974.0,639,Home,2026-11-10,2027-04-05,0.4,1948.79,722000.0,500,9.6,Annual,Yes,2,1,Approved,0,3,7.0,1,Text,Afternoon,French,Home Purchase,7,6,Medium,278
C100011,80,Female,Widowed,SK,Saskatoon,IT Professional,59340.0,661,Home,2024-02-02,2026-10-15,2.7,2096.42,1478000.0,1000,2.0,Monthly,No,0,0,None,0,2,8.0,1,Email,Morning,English,None,6,2,Low,106
